COP(=O)(c1cc(C)cc(/C=C/C#N)c1)c1c(C(N)=O)[nH]c2ccc(Cl)cc12,[ 0.0801455   0.70078903 -1.         -0.93774444  0.6398587 ]
CCOP(=S)(OCC)OCCSCC,[ 0.33863524 -0.05530357 -0.872163   -0.77691406 -0.02579088]
CCCOP(=S)(OC)Oc1cnn(C)c(=O)c1OC,[ 0.5398594   0.6170066   0.97568697 -0.27871984  0.04265157]
Cc1cn([C@H]2CCCN(S(=O)(=O)c3ccc(CO)c(Oc4cccc(Cl)c4)c3)C2)c(=O)[nH]c1=O,[ 0.02112312  0.6803488  -0.04410256 -0.29317775 -0.03367467]
CN(C)C(=O)Nc1ccc(-n2nc(C(C)(C)C)oc2=O)c(Cl)c1,[ 0.03078247  0.8362618  -0.52588373 -0.13640147 -0.37941626]
CNC(=O)c1cccc2c(Nc3ccc(NS(C)(=O)=O)cc3OC)c3cccc(C)c3[nH+]c12,[-0.20129766  0.8915892  -0.90339875 -0.6460931  -0.11892263]
CC(C)(C)c1ccc2[nH]c(C(F)(F)F)nc2c1,[ 0.39668283  0.78519213 -0.93060905 -0.8413649   0.06749906]
CNC(=O)Oc1cc(C)c(C)c(C)c1,[ 0.18941791 -0.5685684  -0.5412148  -0.7972594  -0.3465457 ]
COc1cc(O)c(S(=O)(=O)N2c3ccccc3CCC2C)cc1NC(=O)CCC(=O)O,[ 0.22758204  0.24759476 -1.         -0.6333816  -0.13623735]
CCC(=O)C1c2cccc(O)c2C(=O)c2c(O)cccc21,[ 0.42871332  1.          0.2516461  -0.8216898   0.77809733]
ClCCN(CCCl)CCCl,[-0.18405274  0.6355803  -0.6276124  -0.79039496 -0.06429335]
COc1ccc(C2=Cc3ccccc3OC2c2ccc(OCCN3CCCCC3)cc2)cc1,[ 0.32529345  0.2432335  -0.5155776  -0.6604206   0.12445601]
NC(=O)c1cccc2c3c([nH]c12)CCCC3,[-0.7545656   0.71552867 -0.29198954 -0.02083925  0.12464186]
CCSCCSP(=O)(OC)OC,[-0.0230827   0.06060946 -0.735728   -0.92739147  0.32558993]
O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(Oc2ncc(C(F)(F)F)cc2Cl)c(Cl)c1,[ 0.41732028  0.71145767  0.34094882 -0.9156183   0.0535087 ]
CNC(=O)ON=C1CCCC1(C)C#N,[ 0.36469272  0.9311299  -0.85597444 -0.90099525 -0.26757962]
Nc1ccc(Cl)cc1,[ 0.42689002  0.80217004 -0.62749124 -0.73981166 -0.34245747]
CC(C)S(=O)(=O)n1c(N)nc2ccc(/C(=C/C(N)=O)c3cc(F)c(F)c(F)c3)cc21,[-0.02007911  0.76247555 -0.5329869  -0.96636814 -0.41274732]
COc1cccc(C=Nc2c(C)n(C)n(-c3ccccc3)c2=O)c1,[-0.1314483  0.9723137 -0.6369665 -0.7813778  0.344006 ]
CC(C=O)CCC(C)(O)C=O,[ 0.72044975  0.87375    -0.29323635 -0.6574262  -0.34609106]
CCOC(=O)c1cn2nc(OP(=S)(OCC)OCC)cc2nc1C,[ 0.17144044  0.16522309 -0.5272608  -0.16175799 -0.11423724]
